X,Y,theta
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,0
0.0003,0,-0.01
0.0003,0,-0.01
0.0003,0,-0.01
0.0003,0,-0.01
0.0003,0,-0.01
0.0003,0,-0.02
0.0003,0,-0.02
0.0003,0,-0.02
0.0003,0,-0.02
0.0004,0,-0.03
0.0022,-0.0003,-0.03
0.0066,-0.0006,-0.03
0.0169,-0.0006,-0.04
0.0254,0.0001,-0.04
0.0332,0.0023,-0.04
0.0413,0.0069,-0.04
0.0588,0.0114,-0.05
0.0714,0.0152,-0.05
0.0867,0.0183,-0.05
0.0965,0.022,-0.06
0.1071,0.0259,-0.06
0.1191,0.0305,-0.06
0.1366,0.0343,-0.06
0.1528,0.0414,-0.07
0.1685,0.0483,-0.07
0.1809,0.052,-0.07
0.1941,0.0565,-0.08
0.2069,0.0608,-0.08
0.2243,0.0657,-0.08
0.2385,0.0703,-0.08
0.2537,0.0743,-0.08
0.2686,0.0811,-0.09
0.2855,0.0913,-0.09
0.3007,0.0996,-0.1
0.3174,0.1099,-0.1
0.3292,0.118,-0.1
0.3392,0.1275,-0.1
0.3487,0.1373,-0.11
0.3635,0.1491,-0.11
0.3751,0.1582,-0.11
0.3887,0.1753,-0.11
0.4011,0.1845,-0.12
0.4116,0.1923,-0.12
0.4229,0.2005,-0.12
0.436,0.2133,-0.12
0.4457,0.223,-0.13
0.4564,0.2315,-0.13
0.4679,0.2431,-0.13
0.481,0.2527,-0.13
0.4937,0.2653,-0.13
0.5044,0.2755,-0.13
0.5162,0.2814,-0.13
0.5208,0.2865,-0.13
0.523,0.2924,-0.13
0.5252,0.3006,-0.13
0.5298,0.307,-0.13
0.5306,0.311,-0.13
0.5299,0.318,-0.13
0.5307,0.324,-0.13
0.5325,0.3283,-0.13
0.533,0.3319,-0.13
0.5315,0.3355,-0.13
0.5301,0.3412,-0.13
0.5287,0.3476,-0.13
0.5267,0.3511,-0.13
0.5248,0.3545,-0.13
0.523,0.3617,-0.13
0.522,0.3663,-0.13
0.5199,0.3698,-0.13
0.5156,0.3746,-0.13
0.5109,0.3812,-0.13
0.5047,0.3901,-0.13
0.4996,0.3941,-0.13
0.4953,0.3969,-0.13
0.4907,0.4032,-0.13
0.4841,0.4108,-0.13
0.474,0.4177,-0.13
0.4676,0.422,-0.13
0.4626,0.4286,-0.13
0.4587,0.434,-0.13
0.4501,0.4406,-0.13
0.4404,0.4489,-0.13
0.4354,0.4584,-0.13
0.429,0.4647,-0.12
0.4221,0.4704,-0.12
0.414,0.479,-0.12
0.4017,0.4903,-0.12
0.3941,0.501,-0.12
0.3814,0.508,-0.12
0.3715,0.5155,-0.12
0.3624,0.5282,-0.12
0.3475,0.5402,-0.12
0.3382,0.5483,-0.12
0.3269,0.5545,-0.12
0.3199,0.5624,-0.12
0.31,0.5736,-0.12
0.3005,0.5814,-0.12
0.2876,0.5945,-0.11
0.2774,0.6037,-0.11
0.2702,0.6122,-0.11
0.2623,0.6205,-0.11
0.2503,0.6247,-0.11
0.242,0.6283,-0.11
0.234,0.6341,-0.11
0.2234,0.6381,-0.11
0.2121,0.6408,-0.1
0.2013,0.6411,-0.1
0.194,0.6424,-0.1
0.1864,0.6456,-0.1
0.1742,0.6476,-0.1
0.1613,0.6473,-0.09
0.1504,0.6472,-0.09
0.1424,0.6489,-0.09
0.1331,0.6513,-0.09
0.1227,0.653,-0.09
0.1125,0.6523,-0.08
0.1001,0.6522,-0.08
0.0911,0.6539,-0.08
0.0775,0.655,-0.07
0.0644,0.6532,-0.07
0.0543,0.6504,-0.07
0.0441,0.6479,-0.07
0.0293,0.6471,-0.06
0.0177,0.6457,-0.06
0.0063,0.641,-0.06
-0.0089,0.6462,-0.05
-0.0252,0.6913,-0.05
-0.0413,0.688,-0.05
-0.0528,0.6942,-0.05
-0.0638,0.6894,-0.04
-0.08,0.6631,-0.04
-0.0928,0.6598,-0.04
-0.1087,0.6533,-0.04
-0.1234,0.6485,-0.03
-0.1355,0.6439,-0.03
-0.1465,0.6403,-0.03
-0.1555,0.6357,-0.02
-0.1666,0.6319,-0.02
-0.1759,0.6284,-0.02
-0.1861,0.6234,-0.02
-0.2017,0.6168,-0.01
-0.2099,0.6097,-0.01
-0.2217,0.6047,-0.01
-0.2309,0.6,0
-0.2394,0.5928,0
-0.2498,0.5869,0
-0.2609,0.5801,0
-0.27,0.5745,0.01
-0.2816,0.5698,0.01
-0.2893,0.5641,0.01
-0.3003,0.5569,0.01
-0.3096,0.5508,0.01
-0.3209,0.5463,0.02
-0.3296,0.5391,0.02
-0.3366,0.5335,0.02
-0.3452,0.5284,0.02
-0.3566,0.5209,0.03
-0.3636,0.5137,0.03
-0.3704,0.5039,0.03
-0.3842,0.4956,0.03
-0.3922,0.4868,0.03
-0.4008,0.4794,0.04
-0.4074,0.4722,0.04
-0.4157,0.4655,0.04
-0.4239,0.457,0.04
-0.4348,0.447,0.04
-0.4411,0.4401,0.04
-0.4513,0.4328,0.05
-0.4596,0.4266,0.05
-0.4667,0.416,0.05
-0.4758,0.4085,0.05
-0.4833,0.4025,0.05
-0.4908,0.3967,0.05
-0.4973,0.3868,0.05
-0.5076,0.3765,0.05
-0.5152,0.37,0.05
-0.5229,0.3636,0.05
-0.5295,0.3531,0.05
-0.5386,0.3447,0.05
-0.5468,0.3373,0.05
-0.5546,0.33,0.05
-0.5625,0.319,0.05
-0.5707,0.3079,0.05
-0.5783,0.2994,0.05
-0.5886,0.2926,0.04
-0.5949,0.2844,0.04
-0.6012,0.2734,0.04
-0.6112,0.2666,0.04
-0.6218,0.2076,0.04
-0.6302,0.1963,0.04
-0.6354,0.188,0.04
-0.6406,0.1809,0.04
-0.6451,0.1719,0.04
-0.6495,0.1635,0.04
-0.6521,0.1544,0.04
-0.655,0.1462,0.03
-0.6582,0.1365,0.03
-0.6615,0.1256,0.03
-0.6629,0.1165,0.03
-0.665,0.1057,0.03
-0.6679,0.0984,0.02
-0.6692,0.0902,0.02
-0.6701,0.0776,0.01
-0.6732,0.0654,0.01
-0.6759,0.0552,0.01
-0.6781,0.0478,0
-0.6783,0.04,0
-0.678,0.0287,0
-0.6782,0.0194,-0.01
-0.6778,0.0107,-0.02
-0.6768,-0.0005,-0.02
-0.6737,-0.0129,-0.02
-0.6719,-0.0229,-0.02
-0.6703,-0.0324,-0.03
-0.6686,-0.0439,-0.03
-0.6655,-0.0527,-0.03
-0.6633,-0.0624,-0.03
-0.6613,-0.0754,-0.04
-0.6586,-0.0846,-0.04
-0.6558,-0.0949,-0.04
-0.6532,-0.1059,-0.05
-0.651,-0.1148,-0.05
-0.6481,-0.1242,-0.05
-0.6447,-0.1364,-0.05
-0.6398,-0.146,-0.05
-0.6344,-0.1586,-0.06
-0.6276,-0.172,-0.06
