1,2,3,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.396,1.608,1.92,1.92
11.685,14.15,13.358,14.64
28.109,26.533,26.065,30.55
37.44,33.141,39.26,34.16
26.294,22.38,28.412,24.78
29.946,27.227,22.254,30.23
38.853,36.347,29.925,40.63
49.107,41.489,40.452,41.81
43.507,37.889,45.743,40.78
39.137,43.377,35.01,48.66
42.114,51.217,36.198,53.08
53.676,46.224,43.035,42.95
61.339,36.986,54.057,40.1
43.984,40.747,54.159,48.45
37.111,50.251,38.219,52.39
41.082,51.299,36.498,38.52
47.696,37.685,43.298,30.86
63.257,24.775,53.501,34.89
68.683,29.855,63.362,40.74
54.526,36.64,66.675,24.28
48.921,22.772,66.989,16.42
54.433,16.028,71.656,25.13
63.147,21.802,75.258,32.46
70.226,30.713,83.635,20.28
76.898,15.667,86.042,4.03
80.756,-0.95,83.907,10.24
79.817,2.786,82.849,19.71
82.751,15.658,86.82,10.89
86.89,18.06,90.488,-1.4
85.578,7.567,87.826,7.47
89.043,13.279,89.931,17.22
93.127,23.699,91.694,8.95
92.348,15.202,94.429,0.57
91.518,-0.673,99.206,10.04
93.573,7.975,96.593,19.17
92.432,17.365,88.692,9.44
76.128,11.163,62.942,-5.15
50.695,-5.516,55.542,4.19
43.267,-6.652,56.489,11.7
48.151,2.243,59.71,2.41
51.069,-4.052,45.699,-9.71
41.163,-13.236,31.844,-2.84
32.977,-8.473,32.544,6.74
38.085,-4.319,40.237,-2.99
41.347,-14.936,42.117,-10.16
32.228,-23.79,29.678,-1.95
31.076,-15.108,30.404,1.08
38.216,-5.016,38.803,-9.78
39.25,-7.241,36.294,-17.43
28.81,-20.198,20.904,-11.69
14.733,-31.495,1.61,-18.49
15.899,-26.504,4.372,-28.96
23.102,-27.169,12.377,-38.72
6.869,-39.557,2.73,-29.85
-7.748,-42.977,-8.651,-34.63
-1.53,-33.003,-0.737,-44.2
12.246,-31.243,13.166,-52.3
4.952,-38.076,3.222,-49.47
