x,y,theta
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.0049,0.0006,0
0.0447,-0.0015,0
0.1072,-0.0024,0.01
0.1797,-0.0092,0
0.1717,0.0067,-0.02
0.1281,0.019,0.02
0.134,0.0189,0.04
0.1913,0.0102,0.04
0.2319,0.0015,0.03
0.2062,0.0153,-0.01
0.1896,0.0246,-0.03
0.2206,0.0248,-0.03
0.2574,0.0297,-0.03
0.2525,0.0882,-0.03
0.2367,0.1178,-0.01
0.2463,0.105,0
0.2765,0.0945,0.02
0.2673,0.1251,0.02
0.2622,0.147,-0.01
0.2731,0.1353,-0.03
0.3052,0.1222,-0.02
0.3085,0.1512,0.02
0.2827,0.17,0
0.2858,0.1502,-0.02
0.3051,0.1265,-0.01
0.2995,0.1443,0.01
0.2896,0.1731,-0.02
0.3012,0.1603,-0.01
0.322,0.1344,0.03
0.305,0.1248,0.06
0.2587,0.1458,0.03
0.2224,0.1497,-0.01
0.2156,0.1328,0.02
0.2086,0.1323,0.08
0.1704,0.1513,0.02
0.151,0.1526,-0.07
0.1697,0.1251,-0.01
0.1793,0.1253,0.07
0.1471,0.1379,0
0.1315,0.1403,-0.07
0.1368,0.1092,-0.03
0.1393,0.1009,0.09
0.1091,0.1262,0.03
0.1031,0.1236,-0.08
0.1291,0.1038,-0.07
0.1382,0.0952,0.03
0.1194,0.1169,0.05
0.0484,0.123,0.02
-0.011,0.1072,-0.01
-0.011,0.0937,-0.02
0.015,0.1035,0.04
-0.0258,0.1052,0.01
-0.0822,0.0923,-0.03
-0.0625,0.0984,-0.08
-0.0346,0.1207,-0.05
-0.0902,0.1101,-0.02
-0.1375,0.0931,0.01
-0.0942,0.088,-0.02
-0.0583,0.1039,-0.06
-0.0865,0.0993,-0.06
-0.1278,0.0911,-0.06
-0.1149,0.1192,0
-0.0633,0.1271,0.05
-0.0811,0.1081,0.05
-0.1194,0.0963,0.04
