Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00405596510534162,-8.35681439853575E-06,0.0261742150252001,0,0,0,2.73561143246653,0.0221972066308063,3.05734168376215E-10,-5.80748843512715E-06,0.0221847224219223,5.11435242237354E-12,0.043239086557537,0,0,0,0,0,0,package://URDF___/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF___/meshes/base_link.STL,,THAN_1-1;PART_NOI-1;Dia_RC_SERVO-3;Dia_RC_SERVO-4;GaPLANET60W-1;Dia_RC_SERVO-1;RC_SERVO60kg-1;Link0-1;GaPLANET60W-2;THAN_0-1;DongCoPLANET60W-2;GaPLANET60W-4;GaPLANET60W-3;DongCoPLANET60W-3;DongCoPLANET60W-1;DongCoPLANET60W-4,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Banhxe,-0.00418978253380978,-1.37437949909724E-10,0.0260711442925828,0,0,0,2.73416861251952,0.0221971725884675,1.0716189302675E-11,-5.80748843512724E-06,0.0221846626589164,5.11435270845892E-12,0.0432390525185816,0,0,0,0,0,0,package://URDF___/meshes/Banhxe.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF___/meshes/Banhxe.STL,,DongCoPLANET60W-4;DongCoPLANET60W-2;DongCoPLANET60W-3;THAN_1-1;PART_NOI-1;Dia_RC_SERVO-1;GaPLANET60W-4;GaPLANET60W-3;GaPLANET60W-2;GaPLANET60W-1;RC_SERVO60kg-1;Link0-1;THAN_0-1;DongCoPLANET60W-1,Coordinate System1,Axis_banhxe,banhxe,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L_truoc,1.88433393627507E-06,-2.13624641787202E-06,0.0262772387104297,0,0,0,0.278706565052666,8.31166401480294E-05,-2.65441218575858E-09,-5.45136974802306E-09,8.31172485781589E-05,6.11241292855609E-09,9.70244078929607E-05,0,0,0,0,0,0,package://URDF___/meshes/L_truoc.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF___/meshes/L_truoc.STL,,Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-11;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-5;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-3;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-12;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-10;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-9;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-6;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-8;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-7;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-4;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-2;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-9;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-6;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-8;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-7;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-5;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-4;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-3;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-2;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-15;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-18;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-17;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-16;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-14;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-7;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-12;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-11;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-9;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-8;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-6;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-5;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-4;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-8;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-4;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-3;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-9;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-1;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-7;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-2;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-1;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-2;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-13;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-9;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-8;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-3;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-7;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-10;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-6;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-4;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-5;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-1;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-6;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-1;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-1;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-2;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-3;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-5;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Body.STEP-2;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Shaft.STEP-1;Mecanum Wheel 100mm-3/Mecanum Wheel (dia 100).STEP-1/Body.STEP-1;KHOPNOIMATBICH_10mm-4,Coordinate System5,Axis2,L_truoc,continuous,0.098,0.2484,-0.031,1.5708,0,0,Banhxe,0,0,1,,,,,,,,,,,,
L_sau,2.01072800331409E-06,-2.03076308410988E-06,0.0262772387104536,0,0,0,0.278706565052627,8.31169189185509E-05,-2.67166258158781E-09,-5.76351123862844E-09,8.31169698065327E-05,5.81914316175128E-09,9.70244078918405E-05,0,0,0,0,0,0,package://URDF___/meshes/L_sau.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF___/meshes/L_sau.STL,,Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-11;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-5;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-3;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-12;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-10;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-9;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-6;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-8;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-7;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-4;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-2;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-9;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-6;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-8;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-7;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-5;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-4;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-3;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-2;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-15;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-18;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-17;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-16;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-14;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-7;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-12;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-11;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-9;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-8;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-6;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-5;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-4;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-8;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-4;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-3;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-9;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-1;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-7;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-2;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-1;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-2;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-13;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-9;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-8;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-3;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-7;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-10;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-6;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-4;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-5;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-1;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-6;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-1;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-1;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-2;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-3;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-5;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Body.STEP-2;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Shaft.STEP-1;Mecanum Wheel 100mm-4/Mecanum Wheel (dia 100).STEP-1/Body.STEP-1;KHOPNOIMATBICH_10mm-1,Coordinate System4,Axis1,L_sau,continuous,-0.109,0.2484,-0.031,1.5708,0,0,Banhxe,0,0,1,,,,,,,,,,,,
R_truoc,-2.20874240475233E-06,-1.77048583158146E-06,-0.0263998689010846,0,0,0,0.278706565052654,8.31175538211208E-05,2.60134616042799E-09,-6.41777761542442E-09,8.31163349050889E-05,-5.08832060980675E-09,9.7024407892957E-05,0,0,0,0,0,0,package://URDF___/meshes/R_truoc.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF___/meshes/R_truoc.STL,,Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-11;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-5;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-3;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-12;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-10;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-9;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-6;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-8;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-7;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-4;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-2;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-9;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-6;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-8;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-7;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-5;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-4;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-3;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-2;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-15;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-18;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-17;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-16;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-14;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-7;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-12;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-11;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-9;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-8;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-6;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-5;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-4;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-8;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-4;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-3;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-9;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-1;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-7;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-2;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M3).STEP-1;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-2;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-13;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-9;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-8;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-3;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-7;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-10;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-6;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-4;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-5;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Bolt (M5).STEP-1;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller Bracket.STEP-6;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-1;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-1;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-2;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Roller.STEP-3;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/torque nut 08_iso_ISO 10511-M4-N.STEP-5;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Body.STEP-2;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Shaft.STEP-1;Mecanum Wheel 100mm-1/Mecanum Wheel (dia 100).STEP-1/Body.STEP-1;KHOPNOIMATBICH_10mm-3,Coordinate System2,Axis2,R_truoc,continuous,0.098,-0.2484,-0.031,1.5708,0,0,Banhxe,0,0,1,,,,,,,,,,,,
R_sau,8.61094076355651E-07,-2.69663845789414E-06,-0.0263998689011268,0,0,0,0.278706565052669,8.31147505320892E-05,-1.52497254584395E-09,2.44979715786847E-09,8.31191381940595E-05,-7.81523703246055E-09,9.70244078929343E-05,0,0,0,0,0,0,package://URDF___/meshes/R_sau.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://URDF___/meshes/R_sau.STL,,Mecanum Wheel 100mm-2;KHOPNOIMATBICH_10mm-2,Coordinate System3,,R_sau,fixed,-0.109,-0.2484,-0.031,1.5708,0,0,Banhxe,0,0,0,,,,,,,,,,,,
Canhtay,-0.0278263223311903,6.55031584528842E-15,-0.00350000000001216,0,0,0,0.534098766226502,0.00566428588992574,8.48087174128761E-19,1.76598786924598E-20,0.00596374884636165,-1.95172123468629E-17,0.0116258093247614,0,0,0,0,0,0,package://URDF___/meshes/Canhtay.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF___/meshes/Canhtay.STL,,THAN_1-1,Coordinate System6,Axis_Canhtay,Canhtay,fixed,0.0194999999999916,0,0.106000000000012,0,0,0,base_link,0,0,0,,,,,,,,,,,,
khau1,-4.13493137806642E-05,0.0003628985350001,-0.00250000000001199,0,0,0,0.0524164347503489,4.35239434716306E-05,-1.53048139557481E-08,-6.43941732541486E-23,5.05858137786502E-05,-1.52453914850745E-19,9.38913554388211E-05,0,0,0,0,0,0,package://URDF___/meshes/khau1.STL,0,0,1,1,0,0,0,0,0,0,package://URDF___/meshes/khau1.STL,,XOAY-1,Coordinate System6,Axis3,khau1,continuous,0,0,0,0,0,0,Canhtay,0,0,1,,,,,,,,,,,,
khau2,0.0754192447353981,0.0819748072322959,0.0162654952316923,0,0,0,0.284275041348943,0.000986453032212979,-0.00071788915821828,1.02539426013537E-05,0.0008140254904589,1.17367739168481E-05,0.00175409877571628,0,0,0,0,0,0,package://URDF___/meshes/khau2.STL,0,0,1,1,0,0,0,0,0,0,package://URDF___/meshes/khau2.STL,,Link2-1;Dia_RC_SERVO-2,Coordinate System7,Axis4,khau2,revolute,-0.00045871,-0.039997,0.06,1.5708,-1.5708,0,khau1,0,0.011468,0.99993,0,0,0,0,,,,,,,,
khau3,-0.0903540730407635,0.0603235284991488,0.0615387166898664,0,0,0,0.460302710763701,0.000762703145032567,0.000827120040717837,-4.47070596710686E-06,0.00147062311375389,4.30485739181548E-06,0.00213447948516437,0,0,0,0,0,0,package://URDF___/meshes/khau3.STL,0,0,1,1,0,0,0,0,0,0,package://URDF___/meshes/khau3.STL,,Link3____-1;RC_SERVO60kg-3;RC_SERVO60kg-4,Coordinate System8,Axis5,khau3,revolute,0.1494,0.16823,-0.0019294,0,0,0,khau2,0,0.011468,0.99993,0,0,0,0,,,,,,,,
